_healpix_29,source_id,ra,dec,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ztf_14_obj,ztf_16,ztf_22,panstarrs_1_obj,des_y6,delve_2,tic_v82,allwise,neowise,twomass,erass1,hsc_p3_r,skymapper_4_photometry
555574550704867969,1111149103659931264,115.85562597920595,72.80826068163759,265.835092890135,-1194.4791917328855,12.527368,13.321227,11.6573925,True,True,True,True,False,False,True,True,True,True,False,False,False
559458207167434990,1118916397393675648,133.83554432436412,70.79208043103725,-1353.9848522383277,-418.02948642361736,8.067136,8.887245,7.169298,True,True,True,True,False,False,True,True,True,True,False,False,False
559458208650939590,1118916397395366656,133.8353488310195,70.79295091027184,-1329.0227845036802,-307.49498689893164,8.27417,9.134602,7.3422775,True,True,True,True,False,False,True,True,True,True,False,False,False
563723922955286843,1130450270073924608,146.70363523803653,76.03947042549247,87.3667512611242,-1000.440301995851,9.792734,10.867223,8.757159,True,True,True,True,False,False,True,True,True,True,False,False,False
571660840214396526,1143321672882274560,92.58432174711152,82.10081629100655,50.26318128303255,-1336.2461565890833,9.470075,10.719857,8.35686,True,True,True,True,False,False,True,True,True,True,False,False,False
577433289564837129,1154866579332084992,225.8483705649142,3.785676041859341,-912.0203823559538,696.3391058756778,11.352582,12.296065,10.390793,True,True,True,True,False,True,True,True,True,True,False,True,True
591287379959583985,1182574753387703680,226.7214820355615,13.351625200859788,-1071.0732611087783,-11.799813852140696,18.361835,21.648754,16.800066,True,True,True,True,False,True,True,True,True,True,False,False,True
596515253570784732,1193030490492925824,239.11469743534357,15.655912590196278,311.18254717012934,-1282.7670369101927,3.694426,3.9963472,3.2928677,True,True,True,True,False,True,True,True,True,True,False,False,True
600702570922797497,1201405126966920448,243.62650721110384,19.104635848553052,-2002.9458701817096,363.5664063251981,11.746953,13.165476,10.5643635,True,True,True,True,False,True,True,True,True,True,False,False,False
602535230104775430,1205070452055788928,240.7077053524804,20.583654043582936,-961.3158671588086,-1242.6207595090327,11.167263,12.811124,9.924122,True,True,True,True,False,True,True,True,True,True,False,False,False
604347823174202813,1208695640675619584,230.9612451438866,17.460359765121662,-391.91863369696966,-1259.296213895556,12.195167,13.988167,10.920402,True,True,True,True,False,True,True,True,True,True,False,False,False
604640697733531181,1209281375431039104,233.8298545449259,17.71229222349208,-1211.1074195888914,-164.39397175786522,11.349645,12.657914,10.218404,True,True,True,True,False,True,True,True,True,True,False,False,False
604640724549161471,1209281444150517120,233.82906634288568,17.717133629282703,-1209.510353669511,-171.18238775831105,13.425289,15.272576,12.143821,True,True,True,True,False,True,True,True,True,True,False,False,False
614544765171524393,1229089524081628416,217.3688734819642,15.538414038335086,-1054.7757849507702,1299.3132065676791,9.732934,10.90645,8.651203,True,True,True,True,False,True,True,True,True,True,False,False,False
